PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
58,3,1,28.5,0,0,7.2292,0
59,2,0,5,1,2,27.75,2
60,3,1,11,5,2,46.9,2
61,3,1,22,0,0,7.2292,0
63,1,1,45,1,0,83.475,2
64,3,1,4,3,2,27.9,2
65,1,1,28,0,0,27.7208,0
66,3,1,28,1,1,15.2458,0
67,2,0,29,0,0,10.5,2
68,3,1,19,0,0,8.1583,2
69,3,0,17,4,2,7.925,2
70,3,1,26,2,0,8.6625,2
71,2,1,32,0,0,10.5,2
72,3,0,16,5,2,46.9,2
73,2,1,21,0,0,73.5,2
74,3,1,26,1,0,14.4542,0
75,3,1,32,0,0,56.4958,2
76,3,1,25,0,0,7.65,2
77,3,1,28,0,0,7.8958,2
78,3,1,28,0,0,8.05,2
79,2,1,0.83,0,2,29,2
80,3,0,30,0,0,12.475,2
81,3,1,22,0,0,9,2
82,3,1,29,0,0,9.5,2
83,3,0,28,0,0,7.7875,1
84,1,1,28,0,0,47.1,2
85,2,0,17,0,0,10.5,2
86,3,0,33,3,0,15.85,2
87,3,1,16,1,3,34.375,2
88,3,1,28,0,0,8.05,2
89,1,0,23,3,2,263,2
90,3,1,24,0,0,8.05,2
91,3,1,29,0,0,8.05,2
92,3,1,20,0,0,7.8542,2
93,1,1,46,1,0,61.175,2
94,3,1,26,1,2,20.575,2
95,3,1,59,0,0,7.25,2
96,3,1,28,0,0,8.05,2
97,1,1,71,0,0,34.6542,0
98,1,1,23,0,1,63.3583,0
99,2,0,34,0,1,23,2
100,2,1,34,1,0,26,2
101,3,0,28,0,0,7.8958,2
102,3,1,28,0,0,7.8958,2
103,1,1,21,0,1,77.2875,2
104,3,1,33,0,0,8.6542,2
105,3,1,37,2,0,7.925,2
106,3,1,28,0,0,7.8958,2
107,3,0,21,0,0,7.65,2
108,3,1,28,0,0,7.775,2
109,3,1,38,0,0,7.8958,2
110,3,0,28,1,0,24.15,1
111,1,1,47,0,0,52,2
112,3,0,14.5,1,0,14.4542,0
113,3,1,22,0,0,8.05,2
114,3,0,20,1,0,9.825,2
115,3,0,17,0,0,14.4583,0
116,3,1,21,0,0,7.925,2
117,3,1,70.5,0,0,7.75,1
118,2,1,29,1,0,21,2
119,1,1,24,0,1,247.5208,0
120,3,0,2,4,2,31.275,2
121,2,1,21,2,0,73.5,2
122,3,1,28,0,0,8.05,2
123,2,1,32.5,1,0,30.0708,0
124,2,0,32.5,0,0,13,2
125,1,1,54,0,1,77.2875,2
126,3,1,12,1,0,11.2417,0
127,3,1,28,0,0,7.75,1
128,3,1,24,0,0,7.1417,2
129,3,0,28,1,1,22.3583,0
130,3,1,45,0,0,6.975,2
131,3,1,33,0,0,7.8958,0
132,3,1,20,0,0,7.05,2
133,3,0,47,1,0,14.5,2
134,2,0,29,1,0,26,2
135,2,1,25,0,0,13,2
136,2,1,23,0,0,15.0458,0
137,1,0,19,0,2,26.2833,2
138,1,1,37,1,0,53.1,2
139,3,1,16,0,0,9.2167,2
140,1,1,24,0,0,79.2,0
141,3,0,28,0,2,15.2458,0
142,3,0,22,0,0,7.75,2
143,3,0,24,1,0,15.85,2
144,3,1,19,0,0,6.75,1
145,2,1,18,0,0,11.5,2
146,2,1,19,1,1,36.75,2
147,3,1,27,0,0,7.7958,2
148,3,0,9,2,2,34.375,2
149,2,1,36.5,0,2,26,2
150,2,1,42,0,0,13,2
151,2,1,51,0,0,12.525,2
152,1,0,22,1,0,66.6,2
153,3,1,55.5,0,0,8.05,2
154,3,1,40.5,0,2,14.5,2
155,3,1,28,0,0,7.3125,2
156,1,1,51,0,1,61.3792,0
157,3,0,16,0,0,7.7333,1
158,3,1,30,0,0,8.05,2
159,3,1,28,0,0,8.6625,2
160,3,1,28,8,2,69.55,2
161,3,1,44,0,1,16.1,2
162,2,0,40,0,0,15.75,2
163,3,1,26,0,0,7.775,2
164,3,1,17,0,0,8.6625,2
165,3,1,1,4,1,39.6875,2
166,3,1,9,0,2,20.525,2
167,1,0,28,0,1,55,2
168,3,0,45,1,4,27.9,2
169,1,1,28,0,0,25.925,2
170,3,1,28,0,0,56.4958,2
171,1,1,61,0,0,33.5,2
172,3,1,4,4,1,29.125,1
173,3,0,1,1,1,11.1333,2
174,3,1,21,0,0,7.925,2
175,1,1,56,0,0,30.6958,0
176,3,1,18,1,1,7.8542,2
177,3,1,28,3,1,25.4667,2
178,1,0,50,0,0,28.7125,0
179,2,1,30,0,0,13,2
180,3,1,36,0,0,0,2
181,3,0,28,8,2,69.55,2
182,2,1,28,0,0,15.05,0
183,3,1,9,4,2,31.3875,2
184,2,1,1,2,1,39,2
185,3,0,4,0,2,22.025,2
186,1,1,28,0,0,50,2
187,3,0,28,1,0,15.5,1
188,1,1,45,0,0,26.55,2
189,3,1,40,1,1,15.5,1
190,3,1,36,0,0,7.8958,2
191,2,0,32,0,0,13,2
192,2,1,19,0,0,13,2
193,3,0,19,1,0,7.8542,2
194,2,1,3,1,1,26,2
195,1,0,44,0,0,27.7208,0
196,1,0,58,0,0,146.5208,0
197,3,1,28,0,0,7.75,1
198,3,1,42,0,1,8.4042,2
199,3,0,28,0,0,7.75,1
200,2,0,24,0,0,13,2
201,3,1,28,0,0,9.5,2
202,3,1,28,8,2,69.55,2
203,3,1,34,0,0,6.4958,2
204,3,1,45.5,0,0,7.225,0
205,3,1,18,0,0,8.05,2
206,3,0,2,0,1,10.4625,2
207,3,1,32,1,0,15.85,2
208,3,1,26,0,0,18.7875,0
209,3,0,16,0,0,7.75,1
210,1,1,40,0,0,31,0
211,3,1,24,0,0,7.05,2
212,2,0,35,0,0,21,2
213,3,1,22,0,0,7.25,2
214,2,1,30,0,0,13,2
215,3,1,28,1,0,7.75,1
216,1,0,31,1,0,113.275,0
217,3,0,27,0,0,7.925,2
218,2,1,42,1,0,27,2
219,1,0,32,0,0,76.2917,0
220,2,1,30,0,0,10.5,2
221,3,1,16,0,0,8.05,2
222,2,1,27,0,0,13,2
223,3,1,51,0,0,8.05,2
224,3,1,28,0,0,7.8958,2
225,1,1,38,1,0,90,2
226,3,1,22,0,0,9.35,2
227,2,1,19,0,0,10.5,2
228,3,1,20.5,0,0,7.25,2
229,2,1,18,0,0,13,2
230,3,0,28,3,1,25.4667,2
231,1,0,35,1,0,83.475,2
232,3,1,29,0,0,7.775,2
233,2,1,59,0,0,13.5,2
234,3,0,5,4,2,31.3875,2
235,2,1,24,0,0,10.5,2
236,3,0,28,0,0,7.55,2
237,2,1,44,1,0,26,2
238,2,0,8,0,2,26.25,2
239,2,1,19,0,0,10.5,2
240,2,1,33,0,0,12.275,2
241,3,0,28,1,0,14.4542,0
242,3,0,28,1,0,15.5,1
243,2,1,29,0,0,10.5,2
244,3,1,22,0,0,7.125,2
245,3,1,30,0,0,7.225,0
246,1,1,44,2,0,90,1
247,3,0,25,0,0,7.775,2
248,2,0,24,0,2,14.5,2
249,1,1,37,1,1,52.5542,2
250,2,1,54,1,0,26,2
251,3,1,28,0,0,7.25,2
252,3,0,29,1,1,10.4625,2
253,1,1,62,0,0,26.55,2
254,3,1,30,1,0,16.1,2
255,3,0,41,0,2,20.2125,2
256,3,0,29,0,2,15.2458,0
257,1,0,28,0,0,79.2,0
258,1,0,30,0,0,86.5,2
259,1,0,35,0,0,512.3292,0
260,2,0,50,0,1,26,2
261,3,1,28,0,0,7.75,1
262,3,1,3,4,2,31.3875,2
263,1,1,52,1,1,79.65,2
264,1,1,40,0,0,0,2
265,3,0,28,0,0,7.75,1
266,2,1,36,0,0,10.5,2
267,3,1,16,4,1,39.6875,2
268,3,1,25,1,0,7.775,2
269,1,0,58,0,1,153.4625,2
270,1,0,35,0,0,135.6333,2
271,1,1,28,0,0,31,2
272,3,1,25,0,0,0,2
273,2,0,41,0,1,19.5,2
274,1,1,37,0,1,29.7,0
275,3,0,28,0,0,7.75,1
276,1,0,63,1,0,77.9583,2
277,3,0,45,0,0,7.75,2
278,2,1,28,0,0,0,2
279,3,1,7,4,1,29.125,1
280,3,0,35,1,1,20.25,2
281,3,1,65,0,0,7.75,1
282,3,1,28,0,0,7.8542,2
283,3,1,16,0,0,9.5,2
284,3,1,19,0,0,8.05,2
285,1,1,28,0,0,26,2
286,3,1,33,0,0,8.6625,0
287,3,1,30,0,0,9.5,2
288,3,1,22,0,0,7.8958,2
289,2,1,42,0,0,13,2
290,3,0,22,0,0,7.75,1
291,1,0,26,0,0,78.85,2
292,1,0,19,1,0,91.0792,0
293,2,1,36,0,0,12.875,0
294,3,0,24,0,0,8.85,2
295,3,1,24,0,0,7.8958,2
296,1,1,28,0,0,27.7208,0
297,3,1,23.5,0,0,7.2292,0
298,1,0,2,1,2,151.55,2
299,1,1,28,0,0,30.5,2
300,1,0,50,0,1,247.5208,0
301,3,0,28,0,0,7.75,1
302,3,1,28,2,0,23.25,1
303,3,1,19,0,0,0,2
304,2,0,28,0,0,12.35,1
305,3,1,28,0,0,8.05,2
306,1,1,0.92,1,2,151.55,2
307,1,0,28,0,0,110.8833,0
308,1,0,17,1,0,108.9,0
309,2,1,30,1,0,24,0
310,1,0,30,0,0,56.9292,0
311,1,0,24,0,0,83.1583,0
312,1,0,18,2,2,262.375,0
313,2,0,26,1,1,26,2
314,3,1,28,0,0,7.8958,2
315,2,1,43,1,1,26.25,2
316,3,0,26,0,0,7.8542,2
317,2,0,24,1,0,26,2
318,2,1,54,0,0,14,2
319,1,0,31,0,2,164.8667,2
320,1,0,40,1,1,134.5,0
321,3,1,22,0,0,7.25,2
322,3,1,27,0,0,7.8958,2
323,2,0,30,0,0,12.35,1
324,2,0,22,1,1,29,2
325,3,1,28,8,2,69.55,2
326,1,0,36,0,0,135.6333,0
327,3,1,61,0,0,6.2375,2
328,2,0,36,0,0,13,2
329,3,0,31,1,1,20.525,2
330,1,0,16,0,1,57.9792,0
331,3,0,28,2,0,23.25,1
332,1,1,45.5,0,0,28.5,2
333,1,1,38,0,1,153.4625,2
334,3,1,16,2,0,18,2
335,1,0,28,1,0,133.65,2
336,3,1,28,0,0,7.8958,2
337,1,1,29,1,0,66.6,2
338,1,0,41,0,0,134.5,0
339,3,1,45,0,0,8.05,2
340,1,1,45,0,0,35.5,2
341,2,1,2,1,1,26,2
342,1,0,24,3,2,263,2
343,2,1,28,0,0,13,2
344,2,1,25,0,0,13,2
345,2,1,36,0,0,13,2
346,2,0,24,0,0,13,2
347,2,0,40,0,0,13,2
348,3,0,28,1,0,16.1,2
349,3,1,3,1,1,15.9,2
350,3,1,42,0,0,8.6625,2
351,3,1,23,0,0,9.225,2
352,1,1,28,0,0,35,2
353,3,1,15,1,1,7.2292,0
354,3,1,25,1,0,17.8,2
355,3,1,28,0,0,7.225,0
356,3,1,28,0,0,9.5,2
357,1,0,22,0,1,55,2
358,2,0,38,0,0,13,2
359,3,0,28,0,0,7.8792,1
360,3,0,28,0,0,7.8792,1
361,3,1,40,1,4,27.9,2
362,2,1,29,1,0,27.7208,0
363,3,0,45,0,1,14.4542,0
364,3,1,35,0,0,7.05,2
365,3,1,28,1,0,15.5,1
366,3,1,30,0,0,7.25,2
367,1,0,60,1,0,75.25,0
368,3,0,28,0,0,7.2292,0
369,3,0,28,0,0,7.75,1
370,1,0,24,0,0,69.3,0
371,1,1,25,1,0,55.4417,0
372,3,1,18,1,0,6.4958,2
373,3,1,19,0,0,8.05,2
374,1,1,22,0,0,135.6333,0
375,3,0,3,3,1,21.075,2
376,1,0,28,1,0,82.1708,0
377,3,0,22,0,0,7.25,2
378,1,1,27,0,2,211.5,0
379,3,1,20,0,0,4.0125,0
380,3,1,19,0,0,7.775,2
381,1,0,42,0,0,227.525,0
382,3,0,1,0,2,15.7417,0
383,3,1,32,0,0,7.925,2
384,1,0,35,1,0,52,2
385,3,1,28,0,0,7.8958,2
386,2,1,18,0,0,73.5,2
387,3,1,1,5,2,46.9,2
388,2,0,36,0,0,13,2
389,3,1,28,0,0,7.7292,1
390,2,0,17,0,0,12,0
391,1,1,36,1,2,120,2
392,3,1,21,0,0,7.7958,2
393,3,1,28,2,0,7.925,2
394,1,0,23,1,0,113.275,0
395,3,0,24,0,2,16.7,2
396,3,1,22,0,0,7.7958,2
397,3,0,31,0,0,7.8542,2
398,2,1,46,0,0,26,2
399,2,1,23,0,0,10.5,2
400,2,0,28,0,0,12.65,2
401,3,1,39,0,0,7.925,2
402,3,1,26,0,0,8.05,2
403,3,0,21,1,0,9.825,2
404,3,1,28,1,0,15.85,2
405,3,0,20,0,0,8.6625,2
406,2,1,34,1,0,21,2
407,3,1,51,0,0,7.75,2
408,2,1,3,1,1,18.75,2
409,3,1,21,0,0,7.775,2
410,3,0,28,3,1,25.4667,2
411,3,1,28,0,0,7.8958,2
412,3,1,28,0,0,6.8583,1
413,1,0,33,1,0,90,1
414,2,1,28,0,0,0,2
415,3,1,44,0,0,7.925,2
416,3,0,28,0,0,8.05,2
417,2,0,34,1,1,32.5,2
418,2,0,18,0,2,13,2
419,2,1,30,0,0,13,2
420,3,0,10,0,2,24.15,2
421,3,1,28,0,0,7.8958,0
422,3,1,21,0,0,7.7333,1
423,3,1,29,0,0,7.875,2
424,3,0,28,1,1,14.4,2
425,3,1,18,1,1,20.2125,2
426,3,1,28,0,0,7.25,2
427,2,0,28,1,0,26,2
428,2,0,19,0,0,26,2
429,3,1,28,0,0,7.75,1
430,3,1,32,0,0,8.05,2
431,1,1,28,0,0,26.55,2
432,3,0,28,1,0,16.1,2
433,2,0,42,1,0,26,2
434,3,1,17,0,0,7.125,2
435,1,1,50,1,0,55.9,2
436,1,0,14,1,2,120,2
437,3,0,21,2,2,34.375,2
438,2,0,24,2,3,18.75,2
439,1,1,64,1,4,263,2
440,2,1,31,0,0,10.5,2
441,2,0,45,1,1,26.25,2
442,3,1,20,0,0,9.5,2
443,3,1,25,1,0,7.775,2
444,2,0,28,0,0,13,2
445,3,1,28,0,0,8.1125,2
446,1,1,4,0,2,81.8583,2
447,2,0,13,0,1,19.5,2
448,1,1,34,0,0,26.55,2
449,3,0,5,2,1,19.2583,0
450,1,1,52,0,0,30.5,2
451,2,1,36,1,2,27.75,2
452,3,1,28,1,0,19.9667,2
453,1,1,30,0,0,27.75,0
454,1,1,49,1,0,89.1042,0
455,3,1,28,0,0,8.05,2
456,3,1,29,0,0,7.8958,0
457,1,1,65,0,0,26.55,2
458,1,0,28,1,0,51.8625,2
459,2,0,50,0,0,10.5,2
460,3,1,28,0,0,7.75,1
461,1,1,48,0,0,26.55,2
462,3,1,34,0,0,8.05,2
463,1,1,47,0,0,38.5,2
464,2,1,48,0,0,13,2
465,3,1,28,0,0,8.05,2
466,3,1,38,0,0,7.05,2
467,2,1,28,0,0,0,2
468,1,1,56,0,0,26.55,2
469,3,1,28,0,0,7.725,1
470,3,0,0.75,2,1,19.2583,0
471,3,1,28,0,0,7.25,2
472,3,1,38,0,0,8.6625,2
473,2,0,33,1,2,27.75,2
474,2,0,23,0,0,13.7917,0
475,3,0,22,0,0,9.8375,2
476,1,1,28,0,0,52,2
477,2,1,34,1,0,21,2
478,3,1,29,1,0,7.0458,2
479,3,1,22,0,0,7.5208,2
480,3,0,2,0,1,12.2875,2
481,3,1,9,5,2,46.9,2
482,2,1,28,0,0,0,2
483,3,1,50,0,0,8.05,2
484,3,0,63,0,0,9.5875,2
485,1,1,25,1,0,91.0792,0
486,3,0,28,3,1,25.4667,2
487,1,0,35,1,0,90,2
488,1,1,58,0,0,29.7,0
489,3,1,30,0,0,8.05,2
490,3,1,9,1,1,15.9,2
491,3,1,28,1,0,19.9667,2
492,3,1,21,0,0,7.25,2
493,1,1,55,0,0,30.5,2
494,1,1,71,0,0,49.5042,0
495,3,1,21,0,0,8.05,2
496,3,1,28,0,0,14.4583,0
497,1,0,54,1,0,78.2667,0
498,3,1,28,0,0,15.1,2
499,1,0,25,1,2,151.55,2
500,3,1,24,0,0,7.7958,2
501,3,1,17,0,0,8.6625,2
502,3,0,21,0,0,7.75,1
503,3,0,28,0,0,7.6292,1
504,3,0,37,0,0,9.5875,2
505,1,0,16,0,0,86.5,2
506,1,1,18,1,0,108.9,0
507,2,0,33,0,2,26,2
508,1,1,28,0,0,26.55,2
509,3,1,28,0,0,22.525,2
510,3,1,26,0,0,56.4958,2
511,3,1,29,0,0,7.75,1
512,3,1,28,0,0,8.05,2
513,1,1,36,0,0,26.2875,2
514,1,0,54,1,0,59.4,0
515,3,1,24,0,0,7.4958,2
516,1,1,47,0,0,34.0208,2
517,2,0,34,0,0,10.5,2
518,3,1,28,0,0,24.15,1
519,2,0,36,1,0,26,2
520,3,1,32,0,0,7.8958,2
521,1,0,30,0,0,93.5,2
522,3,1,22,0,0,7.8958,2
523,3,1,28,0,0,7.225,0
524,1,0,44,0,1,57.9792,0
525,3,1,28,0,0,7.2292,0
526,3,1,40.5,0,0,7.75,1
527,2,0,50,0,0,10.5,2
528,1,1,28,0,0,221.7792,2
529,3,1,39,0,0,7.925,2
530,2,1,23,2,1,11.5,2
531,2,0,2,1,1,26,2
532,3,1,28,0,0,7.2292,0
533,3,1,17,1,1,7.2292,0
534,3,0,28,0,2,22.3583,0
535,3,0,30,0,0,8.6625,2
536,2,0,7,0,2,26.25,2
537,1,1,45,0,0,26.55,2
538,1,0,30,0,0,106.425,0
539,3,1,28,0,0,14.5,2
540,1,0,22,0,2,49.5,0
541,1,0,36,0,2,71,2
542,3,0,9,4,2,31.275,2
543,3,0,11,4,2,31.275,2
544,2,1,32,1,0,26,2
545,1,1,50,1,0,106.425,0
546,1,1,64,0,0,26,2
547,2,0,19,1,0,26,2
548,2,1,28,0,0,13.8625,0
549,3,1,33,1,1,20.525,2
550,2,1,8,1,1,36.75,2
551,1,1,17,0,2,110.8833,0
552,2,1,27,0,0,26,2
553,3,1,28,0,0,7.8292,1
554,3,1,22,0,0,7.225,0
555,3,0,22,0,0,7.775,2
556,1,1,62,0,0,26.55,2
557,1,0,48,1,0,39.6,0
558,1,1,28,0,0,227.525,0
559,1,0,39,1,1,79.65,2
560,3,0,36,1,0,17.4,2
561,3,1,28,0,0,7.75,1
562,3,1,40,0,0,7.8958,2
563,2,1,28,0,0,13.5,2
564,3,1,28,0,0,8.05,2
565,3,0,28,0,0,8.05,2
566,3,1,24,2,0,24.15,2
567,3,1,19,0,0,7.8958,2
568,3,0,29,0,4,21.075,2
569,3,1,28,0,0,7.2292,0
570,3,1,32,0,0,7.8542,2
571,2,1,62,0,0,10.5,2
572,1,0,53,2,0,51.4792,2
573,1,1,36,0,0,26.3875,2
574,3,0,28,0,0,7.75,1
575,3,1,16,0,0,8.05,2
576,3,1,19,0,0,14.5,2
577,2,0,34,0,0,13,2
578,1,0,39,1,0,55.9,2
579,3,0,28,1,0,14.4583,0
580,3,1,32,0,0,7.925,2
581,2,0,25,1,1,30,2
582,1,0,39,1,1,110.8833,0
583,2,1,54,0,0,26,2
584,1,1,36,0,0,40.125,0
585,3,1,28,0,0,8.7125,0
586,1,0,18,0,2,79.65,2
587,2,1,47,0,0,15,2
588,1,1,60,1,1,79.2,0
589,3,1,22,0,0,8.05,2
590,3,1,28,0,0,8.05,2
591,3,1,35,0,0,7.125,2
592,1,0,52,1,0,78.2667,0
593,3,1,47,0,0,7.25,2
594,3,0,28,0,2,7.75,1
595,2,1,37,1,0,26,2
596,3,1,36,1,1,24.15,2
597,2,0,28,0,0,33,2
598,3,1,49,0,0,0,2
599,3,1,28,0,0,7.225,0
600,1,1,49,1,0,56.9292,0
601,2,0,24,2,1,27,2
602,3,1,28,0,0,7.8958,2
603,1,1,28,0,0,42.4,2
604,3,1,44,0,0,8.05,2
605,1,1,35,0,0,26.55,0
606,3,1,36,1,0,15.55,2
607,3,1,30,0,0,7.8958,2
608,1,1,27,0,0,30.5,2
609,2,0,22,1,2,41.5792,0
610,1,0,40,0,0,153.4625,2
611,3,0,39,1,5,31.275,2
612,3,1,28,0,0,7.05,2
613,3,0,28,1,0,15.5,1
614,3,1,28,0,0,7.75,1
615,3,1,35,0,0,8.05,2
616,2,0,24,1,2,65,2
617,3,1,34,1,1,14.4,2
618,3,0,26,1,0,16.1,2
619,2,0,4,2,1,39,2
620,2,1,26,0,0,10.5,2
621,3,1,27,1,0,14.4542,0
622,1,1,42,1,0,52.5542,2
623,3,1,20,1,1,15.7417,0
624,3,1,21,0,0,7.8542,2
625,3,1,21,0,0,16.1,2
626,1,1,61,0,0,32.3208,2
627,2,1,57,0,0,12.35,1
628,1,0,21,0,0,77.9583,2
629,3,1,26,0,0,7.8958,2
630,3,1,28,0,0,7.7333,1
631,1,1,80,0,0,30,2
632,3,1,51,0,0,7.0542,2
633,1,1,32,0,0,30.5,0
634,1,1,28,0,0,0,2
635,3,0,9,3,2,27.9,2
636,2,0,28,0,0,13,2
637,3,1,32,0,0,7.925,2
638,2,1,31,1,1,26.25,2
639,3,0,41,0,5,39.6875,2
640,3,1,28,1,0,16.1,2
641,3,1,20,0,0,7.8542,2
642,1,0,24,0,0,69.3,0
643,3,0,2,3,2,27.9,2
644,3,1,28,0,0,56.4958,2
645,3,0,0.75,2,1,19.2583,0
646,1,1,48,1,0,76.7292,0
647,3,1,19,0,0,7.8958,2
648,1,1,56,0,0,35.5,0
649,3,1,28,0,0,7.55,2
650,3,0,23,0,0,7.55,2
651,3,1,28,0,0,7.8958,2
652,2,0,18,0,1,23,2
653,3,1,21,0,0,8.4333,2
654,3,0,28,0,0,7.8292,1
655,3,0,18,0,0,6.75,1
656,2,1,24,2,0,73.5,2
657,3,1,28,0,0,7.8958,2
658,3,0,32,1,1,15.5,1
659,2,1,23,0,0,13,2
660,1,1,58,0,2,113.275,0
661,1,1,50,2,0,133.65,2
662,3,1,40,0,0,7.225,0
663,1,1,47,0,0,25.5875,2
664,3,1,36,0,0,7.4958,2
665,3,1,20,1,0,7.925,2
666,2,1,32,2,0,73.5,2
667,2,1,25,0,0,13,2
668,3,1,28,0,0,7.775,2
669,3,1,43,0,0,8.05,2
670,1,0,28,1,0,52,2
671,2,0,40,1,1,39,2
672,1,1,31,1,0,52,2
673,2,1,70,0,0,10.5,2
674,2,1,31,0,0,13,2
675,2,1,28,0,0,0,2
676,3,1,18,0,0,7.775,2
677,3,1,24.5,0,0,8.05,2
678,3,0,18,0,0,9.8417,2
679,3,0,43,1,6,46.9,2
680,1,1,36,0,1,512.3292,0
681,3,0,28,0,0,8.1375,1
682,1,1,27,0,0,76.7292,0
683,3,1,20,0,0,9.225,2
684,3,1,14,5,2,46.9,2
685,2,1,60,1,1,39,2
686,2,1,25,1,2,41.5792,0
687,3,1,14,4,1,39.6875,2
688,3,1,19,0,0,10.1708,2
689,3,1,18,0,0,7.7958,2
690,1,0,15,0,1,211.3375,2
691,1,1,31,1,0,57,2
692,3,0,4,0,1,13.4167,0
693,3,1,28,0,0,56.4958,2
694,3,1,25,0,0,7.225,0
695,1,1,60,0,0,26.55,2
696,2,1,52,0,0,13.5,2
697,3,1,44,0,0,8.05,2
698,3,0,28,0,0,7.7333,1
699,1,1,49,1,1,110.8833,0
700,3,1,42,0,0,7.65,2
701,1,0,18,1,0,227.525,0
702,1,1,35,0,0,26.2875,2
703,3,0,18,0,1,14.4542,0
704,3,1,25,0,0,7.7417,1
705,3,1,26,1,0,7.8542,2
706,2,1,39,0,0,26,2
707,2,0,45,0,0,13.5,2
708,1,1,42,0,0,26.2875,2
709,1,0,22,0,0,151.55,2
710,3,1,28,1,1,15.2458,0
711,1,0,24,0,0,49.5042,0
712,1,1,28,0,0,26.55,2
713,1,1,48,1,0,52,2
714,3,1,29,0,0,9.4833,2
715,2,1,52,0,0,13,2
716,3,1,19,0,0,7.65,2
717,1,0,38,0,0,227.525,0
718,2,0,27,0,0,10.5,2
719,3,1,28,0,0,15.5,1
720,3,1,33,0,0,7.775,2
721,2,0,6,0,1,33,2
722,3,1,17,1,0,7.0542,2
723,2,1,34,0,0,13,2
724,2,1,50,0,0,13,2
725,1,1,27,1,0,53.1,2
726,3,1,20,0,0,8.6625,2
727,2,0,30,3,0,21,2
728,3,0,28,0,0,7.7375,1
729,2,1,25,1,0,26,2
730,3,0,25,1,0,7.925,2
731,1,0,29,0,0,211.3375,2
732,3,1,11,0,0,18.7875,0
733,2,1,28,0,0,0,2
734,2,1,23,0,0,13,2
735,2,1,23,0,0,13,2
736,3,1,28.5,0,0,16.1,2
737,3,0,48,1,3,34.375,2
738,1,1,35,0,0,512.3292,0
739,3,1,28,0,0,7.8958,2
740,3,1,28,0,0,7.8958,2
741,1,1,28,0,0,30,2
742,1,1,36,1,0,78.85,2
743,1,0,21,2,2,262.375,0
744,3,1,24,1,0,16.1,2
745,3,1,31,0,0,7.925,2
746,1,1,70,1,1,71,2
747,3,1,16,1,1,20.25,2
748,2,0,30,0,0,13,2
749,1,1,19,1,0,53.1,2
750,3,1,31,0,0,7.75,1
751,2,0,4,1,1,23,2
752,3,1,6,0,1,12.475,2
753,3,1,33,0,0,9.5,2
754,3,1,23,0,0,7.8958,2
755,2,0,48,1,2,65,2
756,2,1,0.67,1,1,14.5,2
757,3,1,28,0,0,7.7958,2
758,2,1,18,0,0,11.5,2
759,3,1,34,0,0,8.05,2
760,1,0,33,0,0,86.5,2
761,3,1,28,0,0,14.5,2
762,3,1,41,0,0,7.125,2
763,3,1,20,0,0,7.2292,0
764,1,0,36,1,2,120,2
765,3,1,16,0,0,7.775,2
766,1,0,51,1,0,77.9583,2
767,1,1,28,0,0,39.6,0
768,3,0,30.5,0,0,7.75,1
769,3,1,28,1,0,24.15,1
770,3,1,32,0,0,8.3625,2
771,3,1,24,0,0,9.5,2
772,3,1,48,0,0,7.8542,2
773,2,0,57,0,0,10.5,2
